review_Id,comment_text,author_id,creation_time,rating,creation_date,polarity,Average
27,osome application.,"		cid-gp:aoqptogm3m1t45cinycpu5knyqxrbb1qsvvbkmmi7fpw1clcwvokiib_npo_whoe9rjfjjpd0u9bfcl5w5trzw","		sat aug 16 01:43:13 nzst 2014",5,16/08/2014 1:43,Good,
28,"light and easy to use	one problem it often lost signal   it is normal under my circonstances  but do not recover and reconnect correctly... most of the time it ends with an unusable track.","		cid-gp:aoqptogajonag93w1w6kybpku6mk8pkafdgdmgl4xfyvn0qxqeilmjm5ffh1b425_28lh2rpqioei_ml5o4pmg","		fri aug 15 22:51:01 nzst 2014",4,15/08/2014 22:51,Good,
29,"losses gps signal a lot	used this and mototracktour at the same time on a motorbike ride today. mototracktour tracked my route perfectly - whilst this app lost about 30 of the route. the google earth flyover function is  cool but not worth it if it can't do the basics.","		cid-gp:aoqptohvozro8hha8q2veak1c0k3nopbakx9wlcrfsrdurn2p1uxxp9ifqzgphkipqlohxf0gujdn3cdbd1ajw","		fri aug 15 22:41:01 nzst 2014",2,15/08/2014 22:41,Bad,
30,nice.,"		cid-gp:aoqptofqkt5ifl0f236tdkqzfq7_lzinwvzkxwwajfhoqwzguft0cm7impdt0kjfbql1cimgkekn92s36mbqfg","		fri aug 15 21:48:28 nzst 2014",4,15/08/2014 21:48,Good,
31,"like	good.","		cid-gp:aoqptoev3nxl3xtygd0roeqivemtddeyhezbeluyl1er__vddvaqm-nkn0vxcbekecdqkiifwcd3zhvyfel52w","		fri aug 15 18:23:58 nzst 2014",5,15/08/2014 18:23,Good,
32,"samsung galaxy w	anyone plz give me the feedback of this app for galaxy w.","		cid-gp:aoqptogu3wacamizjelpqz-kor8wb5kz_uuk9d6ohkowodzqusza47cyvxstkykmdx3xla86ufvrtr1xaaguca","		fri aug 15 16:38:54 nzst 2014",5,15/08/2014 16:38,Good,
33,awesome app.,"		cid-gp:aoqptohbpujubimk2bb7ezozdzdimh34fzaxuuqzjwsvbxcpdx1wtslfa6v8e8xbl5n5zg5e1ebue2hq3abkpa","		fri aug 15 09:49:24 nzst 2014",5,15/08/2014 9:49,Good,
34,nice.,"		cid-gp:aoqptohxj2k_koj8uasgqlaqfsq6fqmk7ju7dns37cjzczt5pjvv7oez5fqa04dj4lf_3qvyaz5dvim_c-iwiw","		fri aug 15 05:07:17 nzst 2014",3,15/08/2014 5:07,Good,
35,"not working	worked but not working now and no update for kk 4.4.2.","		cid-gp:aoqptogfhgjly0pomaaq2penonaomjyjamecsw7b1xvs3gvljtly8r1hs5oertnqzoprk3eu1x7h-vdzbjgxua","		fri aug 15 01:54:36 nzst 2014",2,15/08/2014 1:54,Bad,
36,so nice.,"		cid-gp:aoqptofgfiukxey_r2pg5y66x_qcemoqxcmwd8iei8y5ljugqcejbd2pcsddbwe-6j_hvw_gaofm1sayygpzdw","		fri aug 15 00:04:02 nzst 2014",5,15/08/2014 0:04,Good,
37,i hide in my wife car and i know everything no more sancho.,"		cid-lg:aoqptoga-hkmtmsmot6vwfnrg8zisxohbfl8o8q7cbdljvfhdx3vjijajxmr6ivuu12j83g9g9ydn69ht2pjwg","		thu aug 14 23:22:26 nzst 2014",5,14/08/2014 23:22,Good,
38,i like.,"		cid-gp:aoqptogx4hhlux3mdsminolo6puq5lidisv0gbu4dfob07jw6gucjsvs1mvfad9l7g6gfzvxum2z1edqgmirfw","		thu aug 14 22:15:37 nzst 2014",5,14/08/2014 22:15,Good,
39,"cool	works but not so clear with my android.","		cid-gp:aoqptoghbwf_yqmmxfzc-ft4qtkruacdfvzdhcoi9knlec8ljf3myqnbi2cchq1koh-ydzcp3qqzkybsqelf_w","		thu aug 14 20:49:44 nzst 2014",5,14/08/2014 20:49,Good,
40,"great app	i am trying out four the first time.","		cid-gp:aoqptofi64fyn3dased4i8ymmriukbak5pr-ko61v6xc1gy411pgnyafz7g1okhtvzyvyy__qxkxk2qut6et3g","		thu aug 14 20:35:01 nzst 2014",5,14/08/2014 20:35,Good,
41,"great app	works well. love it.","		cid-gp:aoqptof_dui2cdt7wv8o0yfrwzmz387gp4o4n0toncd8jnhfnkmrngfar6ofubmn5rscp3sgktuumxs6o33hjg","		thu aug 14 20:18:37 nzst 2014",5,14/08/2014 20:18,Good,
42,"my tracks	very good even works with out internet takes a bit of time to find gps but when it dose it is great.","		cid-gp:aoqptoe35xh0p-3bllw2wtxwcbszrnxc1d7qzfirx-algg_mzvo85u3zmfumsrhnvzpb0gf-qvjlm32-4kfr1w","		thu aug 14 20:03:15 nzst 2014",4,14/08/2014 20:03,Good,
43,great for marking trails on google eath with a garmin monterra.,"		cid-gp:aoqptoe_oqhyiwxzyzmqkckxhh2afuijwkuwr3zw9bgrxu1nemuntiydxjizppf5noyvlqxouim-9za-038whq","		thu aug 14 15:22:42 nzst 2014",4,14/08/2014 15:22,Good,
44,"horrible	this app screwed my phone up.","		cid-gp:aoqptoevw3v_ywudrft8iufdkqrpuwfcwwsoett7jhrh6koodyjrv8aeh9jf18nqxroxkefe-lqelujnpjl0gw","		thu aug 14 14:43:14 nzst 2014",1,14/08/2014 14:43,Bad,
45,"un installed after one use.	second time i've tried this app and no improvement. won't get gps fix before hitting record. takes forever to obtain gps fix. loses gps fix if the wind blows. not possible to accurately track time and distance with these limitations.","		cid-gp:aoqptogi0ydcr_mblwk0v7sthozkqplcfnrxl044su_ucfitlancg-biiwyvzw5gc71yxonbokj91n9hlvhrvg","		thu aug 14 12:04:35 nzst 2014",1,14/08/2014 12:04,Bad,
46,many try to beat it but all fail they do : .,"		cid-lg:aoqptoged65jzs3d3mnjog9vik9bqzmgxa4rzhdmtbxbdg85shsfzxenobv6lssg8dpyekhbtrhfpxkqj1asaw","		thu aug 14 11:20:00 nzst 2014",5,14/08/2014 11:20,Good,
47,love this.,"		cid-gp:aoqptofnt_k8u0t6hxasif4kmx9pvsepchv2x6fbh-ba21jzxk6vuvry8zvxdaqntjqpjnjkczxgungdged_bg","		thu aug 14 08:44:43 nzst 2014",5,14/08/2014 8:44,Good,
48,my tracks.,"		cid-gp:aoqptogdxzoh9frmde8oipuzewgimingj3rodj1famzedi3exhhgu-pv0rxkw12qikuktdj8vwok2zka0slleq","		thu aug 14 07:53:00 nzst 2014",5,14/08/2014 7:53,Good,
49,"my track	works awesome.. best tracking app ever.. keep the sexy updates coming :d.","		cid-gp:aoqptofet2pl9hupbajhe5ntyr_imgre4dhfdorm4clxuml_quimfcjqahvx6-pl5mtksyjd40qu8d4fbvthpg","		thu aug 14 06:25:17 nzst 2014",5,14/08/2014 6:25,Good,
50,superb app....,"		cid-gp:aoqptof32imcisgpns1a1wjmul4vsxgff4djbgpq8zolfdvzt_nrcqodxr2h2o2pgi9gobr1akk938pqfqnktq","		thu aug 14 05:31:17 nzst 2014",5,14/08/2014 5:31,Good,
51,threat app.,"		cid-gp:aoqptoeizatxkagralwxmfp34frfr6v9wrx2gnviwawb5obvhlotrpau6u8es0plwvo87nrynx3d6sre639yuq","		thu aug 14 05:24:55 nzst 2014",4,14/08/2014 5:24,Good,
52,"perfect route mapping.	excellent app.","		cid-gp:aoqptogdqd1uzdnb2vmzx-2ej9xq9qnnct8rcsawbzs8njmlxommwm9iqstbgjuv2eu7yiogw3ter3zcmkvmva","		thu aug 14 04:48:41 nzst 2014",5,14/08/2014 4:48,Good,
53,ممتاز.,"		cid-gp:aoqptoeqrtlpen11tbmp5it2u7gcji3dybi7vy4pdo3fyf12livoswvyvpbskft_cy2ojnqydfzxyibdrs-byg","		thu aug 14 04:05:15 nzst 2014",5,14/08/2014 4:05,Good,
54,well not bad.,"		cid-gp:aoqptoenno5z23vzetc2wvs_bihpjyy9hym7eabyr835it7vohps_gxei3fgloqiywhjyewsmlzy5q5ngixzba","		thu aug 14 03:58:00 nzst 2014",3,14/08/2014 3:58,Good,
55,"works well when you need it however works even if you don't need it	this app is just terrible for the battery. it takes around 40 of my battery time according to the system. i must say the app is off in the foreground and no recording is running... and still so much battery gone. weird.  however it is a nice app that works fine when you need it.","		cid-gp:aoqptoe_bn6mq2onjltmvp6fr-ktfaxvkslaesmxnxpyv9i3s2cxzvuv7wyw9x9twmu0iczle8-78gf6hnkosw","		wed aug 13 23:19:32 nzst 2014",2,13/08/2014 23:19,Bad,
56,"my tracks is great	walking or driving it gives good detailed info that i can use and share with others.","		cid-gp:aoqptoeolfolvyhsvbs1he7ttd54ei1crnjojekyyevkc9mcif-ichslclbjgcc1a_xqswoxb4wbgcngl0deag","		wed aug 13 23:13:03 nzst 2014",5,13/08/2014 23:13,Good,
57,"my  tracks mevasa  sanosara  chotila  gujrat  india	i  love  mobile   app  my  tracks  because it  is informed  maps  to  us.","		cid-gp:aoqptofuiexeezouazyb8ays2-lepcn6nwkgtmymyf2k72pweaogdkddhiwly-gessqo77cqtcy_v7ddrva6aq","		wed aug 13 22:18:57 nzst 2014",5,13/08/2014 22:18,Good,
58,"useful simple and flexible.	great for tracking statistics without the needless ""additives"". excellent google drive sync integration.","		cid-gp:aoqptof2fq5a54fuxd8xlvp6jg5guciqtkvgivpo3ijoul7uq-xwotyrwqz5_eamgiy2uvezqidvklpcczftoa","		wed aug 13 22:06:52 nzst 2014",5,13/08/2014 22:06,Good,
59,"battery drain level 9000	i never launched this app on my moto x and it was draining my battery anyway  wtf ?.","		cid-gp:aoqptogkozmumo-crqzkxzzabankfftzsiqurqgatto8hk2mqxbfmkgmtzo41a1p_ic2vpap5fjwdqzvdzkkgw","		wed aug 13 18:44:43 nzst 2014",1,13/08/2014 18:44,Bad,
60,"superb	great app from google.","		cid-gp:aoqptogwzp8aqjaiv9my1ui3kjn_ltgkvbo-62s3qnb8wubhvrrihmtynrpcigfzlzamogq4hmxxrcrsbf1wzw","		wed aug 13 14:10:59 nzst 2014",5,13/08/2014 14:10,Good,
61,"best tracker in market	i have discovered a number of routes on biking.. and this awsome app helps me to return back to home and tecords my digital foot print on earth..","		cid-gp:aoqptogqbd1qf6detynm-ivnnp9fhdkcjozl74qicthjmhngi9d4jqxhtcrsmflpn1tl136u8dbgd03bnwij2g","		wed aug 13 13:02:57 nzst 2014",4,13/08/2014 13:02,Good,
62,"william	ennis.","		cid-gp:aoqptofyaoy4wjaa56dobolt7xakmlpzlt_v99upp6vf43wydu48djbgi7adn4kj0ojrarzv7lq7fvvozanaqa","		wed aug 13 12:01:29 nzst 2014",5,13/08/2014 12:01,Good,
63,"amazing app	really it's so amazing app.","		cid-gp:aoqptoex6mhpttmkxsb05sykpiyhglgzvnhj_eq7fbjuvveu07klmtw42_tbkc5xxklrjaoiparrlbedijklca","		wed aug 13 11:36:19 nzst 2014",5,13/08/2014 11:36,Good,
64,nice software.,"		cid-gp:aoqptogecoskvx15ccycgaff6vd4whvxdcnnzavttp0kvcmozpb-qxjfttanqjdjy7wan2-_wtuykjnwx_rbza","		wed aug 13 08:29:34 nzst 2014",5,13/08/2014 8:29,Good,
65,"pretty decent app for getting kml files of a hike	this app used to have problems recording over a certain number of miles in a single track ~3 miles? not sure if this still exists since i haven't had to track that long lately. hopefully if that still exists that limitation goes away in future versions. an option to pick up an older track at a future date would be nice especially if the phone needs a reboot or you revisit somewhere you went before and pick up where you left off. great to help make your own custom google maps with tracks.","		cid-gp:aoqptoeyexruvjwxisfbsp9mknfct4biar3x7tr76vfu70ftog7snwdxsyikbzbhjftwjgcyftbcovvtoiut7w","		wed aug 13 06:29:28 nzst 2014",4,13/08/2014 6:29,Good,
66,"fab.	works good x.","		cid-gp:aoqptoh1xx4juosu3dvnt4yanycfupqxga7jvgp8axlma_mwgfcq9npac6a4ygtxuiqsr6sfuk-ktddnmwe59g","		wed aug 13 05:51:44 nzst 2014",5,13/08/2014 5:51,Good,
67,"very useful and informative	using it long time. very useful and informative.  wondering if this app is going to support the samsung gear fit. an other suggestion is supporting average heart rate bpm.","		cid-gp:aoqptohwcyve6bur1lhpz_ipfwxjnmi8-o9ki1ejjhmb0uejz7ucukbdqhkrrghba1okb4i0weto79-g5q5ena","		wed aug 13 03:16:40 nzst 2014",5,13/08/2014 3:16,Good,
68,great.,"		cid-gp:aoqptoh5rnkhxblvp5irkw3voumanrc4wn1wof48_ci7ubzyjmhlktqjnesoelx84tauqg0c43c2eh_vtvbc4g","		wed aug 13 03:11:00 nzst 2014",5,13/08/2014 3:11,Good,
69,i like it.,"		cid-gp:aoqptofar2wsnvhtkuho3u7jfeyauivz3pwhhpv-jeqhgiz9uljav4qalswjlvkoxfojvhz3edwwnqt1yulska","		wed aug 13 02:05:15 nzst 2014",5,13/08/2014 2:05,Good,
70,very useful....,"		cid-gp:aoqptohjugplzwbohjelr6ejj46iqivtc2kspq2a_wkr3elhrfgxbpvvpcjrcsksg2crfoa99ok7gdebixw1la","		wed aug 13 01:53:17 nzst 2014",4,13/08/2014 1:53,Good,
71,what a app.,"		cid-gp:aoqptofyrziefvmbji-uw2tsmvs28thqv9izqonn8hokusut30l5rhz0qjfytd7bqetgtgezmg3xwbnhc1kxzq","		wed aug 13 00:40:18 nzst 2014",5,13/08/2014 0:40,Good,
72,"lvd it	heheheh owsm app.","		cid-gp:aoqptoevbotklnobv7rkmtnws9b7efv5e8qpjq8nwobi1jkxnux4xnxwafwewythwh-rg0l8xht4e-fwppy2dw","		tue aug 12 19:48:23 nzst 2014",5,12/08/2014 19:48,Good,
73,"pointless	it can't even find you. does it even use my gps? in notifications it says location set by gps but in the app it says searching for gps. wtf?.","		cid-gp:aoqptogysyqqwuxmkoltfht2am5lbcciv2sb6gze6gt8ia6d4ie_ij1skumux8m3jy_3i7txqmajvgbxlolvbq","		tue aug 12 19:33:47 nzst 2014",1,12/08/2014 19:33,Bad,
74,"shows less distance	the app would be great if it showed the correct distance of my walk.  i have measured with several car odometers and i walk 3.1 miles. the app showed 2.34.  i circle around and repeat several  streets.  if you measure the road length without repeats 2.34 sounds right.  another app track my walk gets the distance right  but drains battery because it never turns off. i'll keep looking.","		cid-gp:aoqptohdmap_jerdwebkjfcajcsmabdoebp8mmvfeeqfq6y4ibyyfz-brfyqr7fn6rgwpnqctq4wmxbwjlcftq","		tue aug 12 14:58:14 nzst 2014",3,12/08/2014 14:58,Good,
75,"has some moderate flaws but fair	the app is good and does well in broad open areas but gets confused in not - so - perfect gps areas.  may throw off distance and actual path by moderate amount.","		cid-gp:aoqptoeiz5fdla09z0_mwv25n6ihba2ydskrslfy8bsohm128kr6nra5ay3o9oyxayfjrlahgeei_knudw1yyq","		tue aug 12 14:37:32 nzst 2014",4,12/08/2014 14:37,Good,
76,"goutam sarkar	my tracks.","		cid-gp:aoqptogoimnkjkw9rrwxwzdrbv5jbnhpgrndzwpsiyrs5fdzcgbaid7yqsrsnvakw3fgq_yngl2hglpgr83mgq","		tue aug 12 12:56:22 nzst 2014",5,12/08/2014 12:56,Good,
77,"latest update really messed up a find app	before i would have given this app a 4.  since the latest update the gps drops segments 20 of the time on routes that i have carefully calibrated.  that makes mileage and speed stats are off.  also the calorie calculator gives results significantly lower than other apps 534 vs. 1890.  that is a hugh difference.  the higher value is the low value from four other apps range 1890 to 2180.  please fix the problems to make this at least a 4 again.","		cid-gp:aoqptoh6q6794idm7n3_s328uj1gezox76tynygphp5pwhhv4bli3qmobvmqvfju0almioxmyd2mzlo_9inspa","		tue aug 12 08:21:10 nzst 2014",2,12/08/2014 8:21,Bad,
78,awesome.,"		cid-gp:aoqptog4u8nkarugaf0yjsx6pchywkt9-dmknxvnq-mv4nd2sito_bj0tby0mcwtebbax6vmlerdvj1uzv8-yw","		tue aug 12 05:52:19 nzst 2014",5,12/08/2014 5:52,Good,
79,"awesome	one thing only i want to see new user interface ui i would give five star.","		cid-gp:aoqptofufuktpqy0zf6jllru5epsnpqtsyfbdqtrbrqxdbl3znns70oaow2s8wizyvv_dovmlo0sqc_9z30osg","		tue aug 12 04:20:56 nzst 2014",3,12/08/2014 4:20,Good,
80,"great apart from...	the app has all of the required training/tracking features and all of them work very well.  however there is nowhere on the web where i can find an exhaustive or even semi-comprehensive list of compatible bluetooth sensors.  the app itself makes reference only to ""zephyr hxm bluetooth [and] polar wearlink bluetooth.    i assume/hope that this is meant to refer to zephyr/polar-like sensors i.e. bluetooth 2.1 and bluetooth 4.0 in general but this isn't clear from any documentation available and until it is i am unable to invest in accessories.  i'd be very grateful if anyone has further info on sensor compatibility...","		cid-gp:aoqptoh_q_fi4xi6ttlap0s-vlhjhrrznibhjxpktb1ktx8b3eoullespiegope-ixxujdwgehaiwvb-1az0da","		tue aug 12 04:02:03 nzst 2014",5,12/08/2014 4:02,Good,
81,"bad since recent update	it used to start recording my track nearly instantaneously and accurately now it takes a couple minutes and is not as accurate to start gets better as it goes.","		cid-gp:aoqptohvvohsjgdc81r7d7o0od7wxwi7xvrrtx_s0_xnsge9ojav6saoxh03kijaqee82ezur-tbvauyhn86wq","		tue aug 12 01:46:05 nzst 2014",2,12/08/2014 1:46,Bad,
82,"does not work on samsung s4	continuous searching for gps will not record tracks in any way shape or form.","		cid-gp:aoqptog_eg86yxgp2-00iibs6aka1i4zmrvw37kztjsojovbblmnkvruhvnbv3egzkapxka9cgvsok4muraxhw","		mon aug 11 17:54:31 nzst 2014",2,11/08/2014 17:54,Bad,
83,awesome app.,"		cid-gp:aoqptoeeaadxz8aga0ik42onxoiynakvudkpowgptg1qrshdivnhsxlzh5j4kjlzr60iiqlottjy9nvafqdfia","		mon aug 11 06:31:22 nzst 2014",5,11/08/2014 6:31,Good,
84,"good app for truck drivers..	love this app as i can record my trip in canada.","		cid-gp:aoqptogbwqiinrksv0nwbnir2q3jaewnmnlvlewdvyiyc--qat-a2h3kuloevoqehxpbtjwvewyw390cqnqsgw","		mon aug 11 05:34:46 nzst 2014",4,11/08/2014 5:34,Good,
85,"excellent	excellent.","		cid-gp:aoqptof87iwahzfy1mdjzqdw22zbjmcddtiufp_zsxo3uumtukxcsyv9mywsvgksx9t6qehtypmqhgnel4k8pw","		mon aug 11 04:02:25 nzst 2014",5,11/08/2014 4:02,Good,
86,"sorting by folder.	i would like to sort tracks by folder. because my trip will consisted by multiple tracks. and i would like to save each trip in a folder.","		cid-gp:aoqptofn2qwkyybkgugu5ek0_3adlpi1q6i2-yi3olrfldfwz_awj8lcc_seuziazbke4n9zefrlfajo2bz4bw","		mon aug 11 02:47:21 nzst 2014",4,11/08/2014 2:47,Good,
87,great app makes me get off my butt and go.,"		cid-gp:aoqptogyg9dnd-4krcaiv67lbp8ve2wfxxctdekobv-keuztd1natyjrqrtute_sjs34fd2nregsi6mhrqa2uq","		mon aug 11 02:46:58 nzst 2014",5,11/08/2014 2:46,Good,
88,"nice	i use this to record and view my flights as a student pilot. works nicely but i'm missing two things: 1 store and display the real absolute time in the chart not just the relative time since the start of the recording 2 milestones should be stored the moment i push the button not after i fill in the details and tap ok in fact that should be optional. thanks great app.","		cid-gp:aoqptofb3n95loyrt7vt9snd4umc0hqe_mopgdfntpshm5algowav-wptmpocfh7onaxectivtymdijluw5zuq","		mon aug 11 01:51:43 nzst 2014",4,11/08/2014 1:51,Good,
89,"my track	bueno.","		cid-gp:aoqptohauqxaezb1ultrip_a8s-td3czluw24-kcwngu7t3ojqqb1hgjibchmxjnvuyxkhwt68bd61rtisdy5w","		sun aug 10 23:42:10 nzst 2014",5,10/08/2014 23:42,Good,
90,excellent.,"		cid-gp:aoqptoenc65gh7tfx4mbgaluiduetvycdew8vcs4edyhtfjffhxwq0ppyufrqxie9t6qi6hw8aoo94xfgo5umg","		sun aug 10 18:26:59 nzst 2014",4,10/08/2014 18:26,Good,
